Disease,Description,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diet,fitness
Acne,"Acne vulgaris is the formation of comedones, papules, pustules, nodules, and/or cysts as a result of obstruction and inflammation of pilosebaceous units (hair follicles and their accompanying sebaceous gland). Acne develops on the face and upper trunk. It most often affects adolescents.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"pasta,white rice,white bread,sugar,fish,fruits,vegetables,whole grains,lean proteins.","regular physical exercise,swimming,cycling,running.."
AIDS,"Acquired immunodeficiency syndrome (AIDS) is a chronic, potentially life-threatening condition caused by the human immunodeficiency virus (HIV). By damaging your immune system, HIV interferes with your body's ability to fight infection and disease.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lean proteins,whole grains,fruits,vegetables.","regular physiccal exercise,walking,good breathing."
Alcoholic hepatitis,"Alcoholic hepatitis is a diseased, inflammatory condition of the liver caused by heavy alcohol consumption over an extended period of time. It's also aggravated by binge drinking and ongoing alcohol use. If you develop this condition, you must stop drinking alcohol",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"lean meats,fish,eggs,dairy products,legumes,vitamins,minerals,limit intake of high fatty,avoiding alcohol.","walking,swimming,cycling."
Allergy,"An allergy is an immune system response to a foreign substance that's not typically harmful to your body.They can include certain foods, pollen, or pet dander. Your immune system's job is to keep you healthy by fighting harmful pathogens.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fruits,vegetables,nuts,meats,vitamins.","regular physical exercise,cycling,swimming,yoga."
Arthritis,"Arthritis is the swelling and tenderness of one or more of your joints. The main symptoms of arthritis are joint pain and stiffness, which typically worsen with age. The most common types of arthritis are osteoarthritis and rheumatoid arthritis.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fruits,vegetables,whole grains,lean proteins,healthy fats,avoid alcohol.","swimming,biking,walking."
Bronchial Asthma,"Bronchial asthma is a medical condition which causes the airway path of the lungs to swell and narrow. Due to this swelling, the air path produces excess mucus making it hard to breathe, which results in coughing, short breath, and wheezing. The disease is chronic and interferes with daily working.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fruits,vegetables,whole grains,lean proteins,omega-3 fatty acids in fish,salmon,mackerel.","physical regular exercise,swimming,cycling,walking,proper inhaled medication."
Cervical spondylosis,"Cervical spondylosis is a general term for age-related wear and tear affecting the spinal disks in your neck. As the disks dehydrate and shrink, signs of osteoarthritis develop, including bony projections along the edges of bones (bone spurs).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fruits,vegetables,omega-3 fatty acids,flaxseeds.","aerobic exercise,chin tucks,neck rotations and extensions,shoulder blade squeezes."
Chicken pox,"Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash. The rash first appears on the chest, back, and face, and then spreads over the entire body, causing between 250 and 500 itchy blisters.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"fruits,vegetables,vitamins,minerals,drinking plenty of water and non alcoholic fluids,avoiding alcohol and smoking.","mild exercise,avoiding scratching."
Chronic cholestasis,"Chronic cholestatic diseases, whether occurring in infancy, childhood or adulthood, are characterized by defective bile acid transport from the liver to the intestine, which is caused by primary damage to the biliary epithelium in most cases",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cool foods,non acids fruits and vegetables,soft foods.",having a good sleep and rest.
Common Cold,"The common cold is a viral infection of your nose and throat (upper respiratory tract). It's usually harmless, although it might not feel that way. Many types of viruses can cause a common cold.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"avoiding cholestral foods,fibers,fruits and vegetables,drinking plenty of water.","regular physical exercise,running,jumping."
